yelp_id,name,is_closed,review_count,price,rating,distance,station_id
9L7D68rsmWKp3ynU8xA4TQ,La Mar,False,39,$$$$,4.5,681.5626906398868,405a3a5ca08c7536d3eb286cf8553025
zHxuxEw1isR1qT9g1bSlRA,Osaka,False,6,,4.7,376.70937632984936,405a3a5ca08c7536d3eb286cf8553025
WIHK2gHP7nqj1fWrqomWCQ,Carnal,False,6,$$$,4.2,295.93226281659327,405a3a5ca08c7536d3eb286cf8553025
YHYoDWBZqI8QDJ2hqb8yPA,Rubaiyat,False,4,,4.3,184.3747423463952,405a3a5ca08c7536d3eb286cf8553025
KSjG0d5CMbDUfLkEvmyk_w,Cuerovaca,False,13,$$$,4.1,637.9976876561187,405a3a5ca08c7536d3eb286cf8553025
T6ENSUv8tDALgdBPdsTPWw,Miraolas,False,13,$$$,4.5,760.219854675574,405a3a5ca08c7536d3eb286cf8553025
Bn-IXy0-PSRVKSBk7LpJEg,Metissage,False,25,$$,4.4,995.8967598008172,405a3a5ca08c7536d3eb286cf8553025
jK0OawyZhe-xPuGMDwsQKQ,Balbona Gastro Bar,False,8,$$$,4.4,602.0876426231732,405a3a5ca08c7536d3eb286cf8553025
wNpZQ4fgvRSQfOzBrVRa-Q,Etniko,False,9,$$$,4.7,1171.1252159152116,405a3a5ca08c7536d3eb286cf8553025
3HH0wU6B5tCiRteejlBZdg,De Patio,False,5,,5.0,673.355752919905,405a3a5ca08c7536d3eb286cf8553025
APHxt34txNliJj46TYcjdQ,Starnberg Restaurant,False,8,$$$,4.1,516.8488769554916,405a3a5ca08c7536d3eb286cf8553025
HscLEQuaaZ6Sa91pY4kfHg,Mariolas El Mañío,False,5,$$,4.8,586.9631185062244,405a3a5ca08c7536d3eb286cf8553025
pdYeOOp57Oq163vCK8p5Zw,Cumarú,False,2,$$$$,5.0,279.0125833562447,405a3a5ca08c7536d3eb286cf8553025
sK0uAwUhsFII6MkuyiMCFA,La Cabrera,False,9,,4.7,1065.502730838256,405a3a5ca08c7536d3eb286cf8553025
e-SQwxGA6xn1nzK9yVDxcA,Tramonto Bar,False,5,$$$$,4.2,508.76617785791126,405a3a5ca08c7536d3eb286cf8553025
Nms5CJ7kZD49Q18KsU-SKQ,Millefleur Café Bistró,False,2,,4.0,91.9994539472153,405a3a5ca08c7536d3eb286cf8553025
fmRWKI8h6pNdvUSnOAjpCw,Fuy,False,1,,5.0,121.4037954739456,405a3a5ca08c7536d3eb286cf8553025
zI6h2r3AYtR4_co2gPfs4Q,Da Carla Ristorante,False,4,$$$,4.8,502.96103561361593,405a3a5ca08c7536d3eb286cf8553025
EkJYvOEC4fpwDDuRmuTBLg,Pomeriggio Bistró,False,1,$$$,1.0,91.9994539472153,405a3a5ca08c7536d3eb286cf8553025
k0D0ekVWECKBu_MPEl94eg,La Picantería,False,6,,4.3,1171.1252159152116,405a3a5ca08c7536d3eb286cf8553025
MeE7iPh7g7zhy5-p7Tw-7A,Saffron,False,4,$$,5.0,481.95955815866586,405a3a5ca08c7536d3eb286cf8553025
i-MCqf26gfFZxBXWa2_hww,7 Alces,False,5,$$,4.0,499.3240002028156,405a3a5ca08c7536d3eb286cf8553025
KmawnSIeZsav51llD6zZ7Q,Brunapoli,False,2,,2.0,63.013062539093816,405a3a5ca08c7536d3eb286cf8553025
JjU-L_5htqz8CrNPtkc8bg,La Boquería de Barcelona,False,4,$$$,4.5,596.5869252173151,405a3a5ca08c7536d3eb286cf8553025
gLeMMTx60QKlbgNvU_U6HQ,Romaria,False,5,$$,4.8,781.9807852942456,405a3a5ca08c7536d3eb286cf8553025
zUjsyfppBf2G2eMOT60ARQ,Moritz Eis,False,2,$$$,3.5,90.70251513978378,405a3a5ca08c7536d3eb286cf8553025
ACiVC7LXyjHqyrNs_5tDAw,La Fête,False,1,,3.0,91.9994539472153,405a3a5ca08c7536d3eb286cf8553025
