yelp_id,category_name
zS8AEvMlsw4NREn5DzSfdQ,sushi bars
MGMsBw3RG_qugo-mh5gVPA,ice cream & frozen yogurt
MGMsBw3RG_qugo-mh5gVPA,desserts
MGMsBw3RG_qugo-mh5gVPA,cafes
abzvITzZsWNM5SkBULcLyg,salad
abzvITzZsWNM5SkBULcLyg,tea rooms
uTsUSGdYsxIz7Dw1gZv-fA,breakfast & brunch
uTsUSGdYsxIz7Dw1gZv-fA,brasseries
uTsUSGdYsxIz7Dw1gZv-fA,cafes
C6zpIFvhg2ACyXcg9U-gFw,barbeque
mU6NGO6_vrEVH30_4pY0UA,pizza
mU6NGO6_vrEVH30_4pY0UA,italian
sr0AxEdKXPMbIM5ZoHiOjg,beer bar
sr0AxEdKXPMbIM5ZoHiOjg,burgers
odi4PW1nciB0FTP-8WajtQ,seafood
_0jsn4iT6I9L8HH0LKcqzg,parks
qtj5faNNgQEP9qhs48w5JA,italian
qtj5faNNgQEP9qhs48w5JA,peruvian
1lsxeXjF7ow8bb9qNBoGsA,coffee roasteries
1lsxeXjF7ow8bb9qNBoGsA,coffee & tea
1lsxeXjF7ow8bb9qNBoGsA,breakfast & brunch
jlUMJoSPww2JURmRptuaxA,italian
jlUMJoSPww2JURmRptuaxA,cafeteria
ahM79O8EhMhWul9lzYbnYA,restaurants
tzld9DsvqWhNBG5wB-yxQg,seafood
tzld9DsvqWhNBG5wB-yxQg,cocktail bars
feQ_b0ucmqptvTYnEq6HLA,italian
feQ_b0ucmqptvTYnEq6HLA,cafeteria
uMl-DH5dNKEJJfl3CvnZBw,italian
xDSqT--_4Gz63b3z4tUR2g,burgers
-xsNMQGrt3aUSKpr9k3smg,vegetarian
-xsNMQGrt3aUSKpr9k3smg,breakfast & brunch
-xsNMQGrt3aUSKpr9k3smg,vegan
0HDq4FqGnrilhMHOUJLMrw,peruvian
2T-JXLpWoj-un0PWcYtUPA,pubs
2T-JXLpWoj-un0PWcYtUPA,brasseries
kjIjIRXlq12ev4uO8hfPqg,chinese
7yeV9hAlAdxdotPk6JnI_w,italian
iAnFv_3D5nnjPoes6XWoVQ,tea rooms
IhbmX2dVDfD83qWn4voKOw,sushi bars
IhbmX2dVDfD83qWn4voKOw,japanese
tpZ5HC0qLNRAGdm2EdG1sQ,peruvian
IxmNjDyKCvegoibXw67Tkw,steakhouses
Ued5I7gMq6K448roG3-vWw,italian
-L1AuRbslnQ3YixuKVgwmA,ice cream & frozen yogurt
kYzT5UIS1mbv2i64zynIbA,japanese
mQm-9BMUIu4AYUVFOXe1mw,italian
8_KCvzaSEELK75z5HKZxhg,creperies
TZuNjejhCctWenw_-MZh6Q,chinese
TZuNjejhCctWenw_-MZh6Q,peruvian
GFu9iuCYaRfG_bk00cv--Q,chilean
yA6Sbo3J4z6dToXa-lLM_Q,latin american
fFYL1G-M6t2gzuJIQwsw-Q,italian
6Txe9Q9dhoVWla4T9684sQ,chilean
6Txe9Q9dhoVWla4T9684sQ,international
6Txe9Q9dhoVWla4T9684sQ,buffets
fxFvMJQ0lUbVuTT92DtOOg,burgers
AFRABAqeQWfUCBRmxmNISw,parks
mSuoU1Jv32O6Vwtg23u1rA,burgers
mSuoU1Jv32O6Vwtg23u1rA,salad
cWhoS-kCAVLBp5VGh_9acg,cafeteria
cWhoS-kCAVLBp5VGh_9acg,breakfast & brunch
cWhoS-kCAVLBp5VGh_9acg,coffee & tea
Bl7YBrgN30rZDaK7-v1Yvw,"beer, wine & spirits"
Bl7YBrgN30rZDaK7-v1Yvw,latin american
4svun7pQT6yPlyf2gN_pJQ,cafes
LfCG9YxRO2XqVH9CyjJFZw,burgers
LfCG9YxRO2XqVH9CyjJFZw,sandwiches
qh51V4uy44RYUPFhyw8nyw,cafes
qh51V4uy44RYUPFhyw8nyw,bars
qh51V4uy44RYUPFhyw8nyw,sandwiches
1JyDAq80T9rfUjN0GSq25g,mediterranean
1JyDAq80T9rfUjN0GSq25g,seafood
1JyDAq80T9rfUjN0GSq25g,breakfast & brunch
TFpRiIZ5Cm3kg2EWWcUIdA,international
HQMZqJDJN_COCTeDzPQi3A,ice cream & frozen yogurt
HQMZqJDJN_COCTeDzPQi3A,cafes
HCZejk8-CZUjnMG7wdNevQ,sushi bars
HCZejk8-CZUjnMG7wdNevQ,japanese
shJR2Wmej0VsB9YpT3OZqQ,cafeteria
aPPrXaZmrU8I0Z8Onc0Kuw,sandwiches
YAoYm2zKL04x5VtYUOwvtg,american
HylPoYQynH295fnsRXBl3g,coffee & tea
CwRjgJn06xRju2uEIGbS9A,japanese
E58pGmjvwnb9bdZVaQLYxQ,desserts
E58pGmjvwnb9bdZVaQLYxQ,coffee & tea
E58pGmjvwnb9bdZVaQLYxQ,ice cream & frozen yogurt
EC-Wm0Og5KMFmC1JqVvOZw,chilean
I7BkzW4jit3VyoZQKCOPow,sandwiches
Gm6w2aeiUjIoynmjMQiDjQ,bars
PIfWaQh0qqojDHCZZ2mX3g,museums
4XOvZM2-ZjtQcAIrVQEX6g,ice cream & frozen yogurt
4XOvZM2-ZjtQcAIrVQEX6g,coffee & tea
LymN2hmazPK_cjJZslWnrg,vietnamese
654O4iPO7Zt3BOCs0PwuWQ,nikkei
654O4iPO7Zt3BOCs0PwuWQ,peruvian
654O4iPO7Zt3BOCs0PwuWQ,japanese
4OjM0G6iyyp4-JmAXgowIA,cafes
4OjM0G6iyyp4-JmAXgowIA,bakeries
dhTRN_XVNDckB6te-18npg,coffee & tea
nY7gMV1zfYYD66lNO4llnw,chilean
Gu0LcRBXW_1s-Y5PrY0csQ,peruvian
PcwbTyJj5P7-s12lPS25Gw,coffee & tea
PcwbTyJj5P7-s12lPS25Gw,breakfast & brunch
PcwbTyJj5P7-s12lPS25Gw,bakeries
G8WbnnB23HaV8pQ4QKicaw,food delivery services
G8WbnnB23HaV8pQ4QKicaw,sandwiches
CePiJLy7sp5kgr2_8Sj_JQ,chinese
gSP8XuVJwnujR313k7gdKA,pizza
aEKn8dnlJ1VRsnpFAucmVg,thai
iZ-LPqeQpIoYOAsfxzOMqg,organic stores
iZ-LPqeQpIoYOAsfxzOMqg,cafeteria
qhq5E2PQdONSHuhqk2dhiA,bakeries
bxoT28BaBv6ytjpoCP7cAg,cafes
bxoT28BaBv6ytjpoCP7cAg,ice cream & frozen yogurt
bxoT28BaBv6ytjpoCP7cAg,sandwiches
mVkpTglAFKO8uvO8wN9vLg,sushi bars
mVkpTglAFKO8uvO8wN9vLg,desserts
1_BLwD_fglcpjR20GEud9g,chilean
EjG1fHwd0otoLWkSCox4aA,desserts
QRY2KlLRWMyNuc6414ROhw,desserts
_Jk0syCbb_-Lc3kHFiyi_w,restaurants
7tGVKYMTeymH5v0Per9smw,middle eastern
6bwlulTlwVP-Eqy1IlrS-Q,sushi bars
6bwlulTlwVP-Eqy1IlrS-Q,peruvian
fyfmvN_YOsZe25_jg2gPlg,sushi bars
TuZTvIJeS7V4CnZL59nhmg,italian
TuZTvIJeS7V4CnZL59nhmg,pizza
0Xrtr3W7Phza-OYNs-nocQ,thai
xyqjtfHz-OlyKYwP_E1qjQ,cajun/creole
tYuU1PAO0RPMa_qxMiwX7Q,parks
trWrDFoNL-9Rzl0r0C63wA,restaurants
97EACChPDW4kXe9Nhzuecg,burgers
2fIg1AzutFOVPgvkfqZfyw,japanese
6upizVuBct_V4f-Zju1X8Q,chinese
0VuYZkJN8kjf5Rtoefh8MQ,sushi bars
RhlCrEQv-fdvQOmIp3GnGQ,sushi bars
v4-Heq2Hy-wC72lE8F8smQ,parks
Wp4O2iwgDYPEKC3c7AzzEg,desserts
sPeuzlkJg1W_GlXpMqfIzQ,coffee & tea
RVtagTONyatfjV6WV9fOkw,fast food
wxNbIORlvkdvylQVVkHW4A,food stands
k5FRHol1rJ4gVNQu0hnuew,street vendors
lRZmL_WcBEU7yJfqoHE3Og,burgers
lRZmL_WcBEU7yJfqoHE3Og,latin american
